id,type,text1,text2,text3,notes
sirius_planet_tatar,CUSTOM,"黎明共和国自由港，塔塔尔星，是一颗标准的丛林行星，有黎明共和国远古时期留下的建筑 ""曙光生态养殖场""，与同星系的 asentana 星球遥相呼应。 ",,,
sirius_planet_asentana,CUSTOM,"速子科技在""破日之战""后一直在背后帮助遭受沉重打击的黎明共和国，给予了大量经济及外交援助，共和国和速子科技共同开拓了 Sirius 星系，速子科技便在这颗冰冻星球上建立了殖民地。",,,
sirius_planet_brick,CUSTOM,宇宙海盗为了袭击附近星系专门开辟的一块殖民地。尽管没什么资源，但足够满足劫掠的本性了！,,,
,,,,,
dyson_ball,CUSTOM,"一个位于 Ton615 黑洞星系的神秘空间站，没有人知道它是被谁建造出来的，也没有人甘愿冒着被类星体风暴打击的危险前去探险。另外据说附近存在恐怖的流浪军团，一些海盗，乃至""名门正派""的逃兵、杀人犯、政治犯藏匿在这个空间站附近。",,,
rd_abandoned_land,CUSTOM,没有人知道这堆宇宙废墟从何而来，也许是数十年前某次星际战争留下的产物。,,,
,,,,,
RD_quasarnebula,TERRAIN,"类星体（又称为似星体、魁霎或类星射电源）是宇宙早期星系核心，由星系中心的超大质量黑洞驱动。 

与普通星系相比，类星体直径小，但亮度大。自被人类发现以来，类星体就一直存在相互融合的趋势",,,
,,,,,
# Weapons,,,,,
RD_High_shock_wave,WEAPON,一种高强度的冲击波，伤害可观，可惜由于射程太短，因此较少被使用。一般用来预防敌人侧翼偷袭。,,,
RD_RavagerLaserCannon,WEAPON,"在多年前的""破日之战""中，霸主曾凭借""船海战术""击败了共和国守卫队。为了应对大量护卫舰驱逐舰袭击，共和国优秀的工程师在""猎鹰""级轻型巡洋舰上安装了特制的武器，被称为""蹂躏者激光炮""的能量武器专门攻击护卫舰和驱逐舰。

可惜由于成本过高无法量产，而且存在过高的射击延迟，因此该武器仅""绝杀猎鹰""级独有。",,,
RD_icecrystalray,WEAPON,一种能够造成持续辐能伤害的光束武器。,,,
RD_small_aperture,WEAPON,"""光圈加农炮""系列武器的小型版本，具有伤害高，冲击力强的特点，命中船体有概率造成emp伤害。",,,
RD_mid_aperture,WEAPON,"""光圈加农炮""系列武器的中型版本，具有伤害高，冲击力强的特点，命中船体有概率造成emp伤害。",,,
RD_large_aperture,WEAPON,"""光圈加农炮""系列武器的大型版本，具有伤害高，冲击力强的特点，命中船体有概率造成emp伤害。",,,
RD_wave,WEAPON,专门用于安装在船体后侧防御地方偷袭的点防御武器，具有转速快，防御能力不错的特点。,,,
RD_spear_of_dawn,WEAPON,"和""速子科技""科研合作的结果，略微逊色于""速子长矛""，但机动性叫前者更快，算是性价比不错的能量武器。",,,
RD_shower,WEAPON,"""阵雨""级SRM发射器，是护盾薄弱装甲脆弱的敌人的克星，此外打击敌方的舰载机的能力也是非诚优秀。",,,
RD_ThunderrEnforcer,WEAPON,"""雷霆执行者""，小型能量武器，虽然伤害不是很高，但是连续的命中敌方也足够让敌人够呛，若造成emp电弧伤害，算敌人走运，若敌人引擎熄火，则是中了大奖。",,,
RD_ThunderRetributor,WEAPON,"""雷霆惩戒者""，中型能量武器，虽然伤害不是很高，但是连续的命中敌方也足够让敌人够呛，若造成emp电弧伤害，算敌人走运，若敌人引擎熄火，则是中了大奖。",,,
RD_ThunderArbiter,WEAPON,"""雷霆仲裁者""，大型能量武器，虽然伤害不是很高，但是连续的命中敌方也足够让敌人够呛，若造成emp电弧伤害，算敌人走运，若敌人引擎熄火，则是中了大奖。",,,
RD_Quasar_pulse_laser,WEAPON,"""类星体脉冲激光""，具有持续打击能力强的特点。但是由于持续脉冲导致相位的变化，炮弹较为分散。",,,
RD_pd_laser_small,WEAPON,小型pd激光，专门用来防御地方侧翼偷袭而生。,,,
RD_pd_laser_middle,WEAPON,中型pd激光，专门用来防御地方侧翼偷袭而生。,,,
RD_positive_ion,WEAPON,"""正离子"" SRM 导弹，命中船体或装甲会产生剧烈的高爆伤害，伤害与损失的结构成正相关。",,,
RD_negative_ion,WEAPON,"""负离子"" SRM 导弹，命中船体或装甲会产生少量emp伤害，伤害与损失的结构成正相关。",,,
RD_positive_ion_prod,WEAPON,"""正离子"" SRM 导弹的中型版本，具有双倍的导弹备量，同时发射的导弹数量也翻倍，可以对敌人造成大量高爆伤害。",,,
RD_negative_ion_prod,WEAPON,"""负离子"" SRM 导弹的中型版本，具有双倍的导弹备量，同时发射的导弹数量也翻倍，可以对敌人造成大量伤害及emp伤害。",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
# ship systems,,,,,
rd_dawn_shield,SHIP_SYSTEM,只有无坚不摧的战斗堡垒才能具备开启曙光护盾的实力。开启之后将获得大量免伤效果和护盾加强效果。,,,
rd_intrepid_fire,SHIP_SYSTEM,短时间内实弹武器得到强化，无畏的冲锋者将会在瞬间给敌人狠狠地打击。,,,
rd_tracker,SHIP_SYSTEM,"为弥补""绝杀猎鹰""级特种巡洋舰机动性较差而生的强化系统。短时间内能够大幅度提高速度及转向性能，辐能耗散速率也得到了提升。同时也牺牲了峰值。",,,
rd_brillance,SHIP_SYSTEM,短时间内能量武器得到强化，适合能量型舰船使用。,,,
rd_energy_escape,SHIP_SYSTEM,配置在共和国的民用舰船上，能够在遇到紧急危险时快速逃离战场，但由于技术问题，引擎有较低概率会出现故障，故障几率随CR值越低逐渐提高。,,,
rd_dawn_breaker,SHIP_SYSTEM,舰船安装有能量摧毁装置，舰船结构越低时，能量摧毁装置的提供的伤害增益越高。结构值低于百分之时时伤害增益甚至可以达到难以想象的地步。,,,
rd_extreme_sniper,SHIP_SYSTEM,"为""海东青""级狙击巡洋舰设计的舰船系统，能够短时间内大幅度增加能量武器射程，但副作用也不可小觑。",,,
rd_cloud,SHIP_SYSTEM,"""云""式舰船的专属技能，能够在增加一定航速的同时增加辐能耗散速率，便于追击敌人和临时耗散辐能。",,,
,,,,,
,,,,,
,,,,,
# items,,,,,
rd_advanced_supplies,RESOURCE,黎明共和国从另一个星域带来的先进补给。是一些特殊建筑的消耗品。同时价格也是普通补给的2倍。,,,
rd_antimatter_furnace,RESOURCE,黎明共和国在另一个星域研制的纳米熔炉，由于年代久远，熔炉已经失去了原有的功能。据说可以驱动某神秘机械运转。,,,
,,,,,
,,,,,
# Ships,,,,,
rd_iridescent_cloud,SHIP,"""彩云""级战斗机，是共和国研制的轻型战机，其由于具备航速快、打击能力强的优势，称为共和国轻型战斗机的首选。",,,
rd_brawler,SHIP,共和国的护卫舰，负责游击骚扰。,,,
rd_monitor,SHIP,共和国的护卫舰，拥有优秀的护盾性能，小规模战斗中常可以看到它们的身影。,,,
rd_hammerhead,SHIP,"别以为这只是换皮的""锤头""级驱逐舰，它拥有比原版更激进的战术系统，仿佛是为了护航而生。每损失一点结构值，其战术系统带来的伤害加成越高，当结构值低于百分之十时，这膄战舰将进入""狂热状态""。",,,
rd_sunder,SHIP,为火力不足恐惧症患者设计的舰船，其火力足以比肩战列巡洋舰，但其吨位只能算是驱逐舰。据说是“云”系舰船设计师的早期作品......,,,
rd_cirrus,SHIP,云”系舰船， 积雨云的小型化设计，具有优秀的火力。专属的战术系统能够让其在追击敌人的同时增加辐能耗散速率，使其成为了纯粹的战舰，但脆弱的结构装甲让它在面对敌人集火攻击或者爆发伤害时显得力不从心。,,,
rd_falcon,SHIP,"如果有人说这艘船是损坏的蓝图的产物，那绝对是谣言。绝杀猎鹰是黎明共和国专门为猎杀吨位较小的船只而设计，不对称的船体降低了一定的性能但也换来了更强的火力，但在面对巡洋舰及以上吨位的舰船时会显得有点力不从心。内置的""蹂躏者激光炮""时刻准备给送上门来的小船致命一击。",,,
rd_morning_glow,SHIP,“云”系的第一艘舰船，朝霞级是为远程支援而生的导弹巡洋舰。大量导弹槽位让远程打击成为无限可能。,,,
rd_falco_rusticolus,SHIP,"""海东青""级巡洋舰，拥有非常优秀的性能，性价比高。具备远程狙击能力，能够在增加射程的同时加大伤害，但较为脆弱的结构也使其成为敌舰的香饽饽。",,,
rd_stratocumulus,SHIP,云”系舰船，层积云看似缺乏武装，但那只是它的表面，装甲下隐藏的导弹在发射时如层层积云极具压迫力。专属的战术系统能够让其在追击敌人的同时增加辐能耗散速率，使其成为了纯粹的战舰，但脆弱的结构装甲让它在面对敌人集火攻击或者爆发伤害时显得力不从心。,,,
rd_conquest,SHIP,"黎明共和国的改造版本，据说蓝图是自由联盟提供的。改造之后护盾性能有了一定提升，虽然损失了一点结构和装甲，但带来了辐能性能的提升。战术系统也切换成了更具打击力量的""黎明无畏火力系统""。",,,
rd_cumulonimbus,SHIP,“云”系舰船，积雨云在保证机动性时留有足够的火力，是黎明共和国新一代的战列巡洋舰。专属的战术系统能够让其在追击敌人的同时增加辐能耗散速率，使其成为了纯粹的战舰，但脆弱的结构装甲让它在面对敌人集火攻击或者爆发伤害时显得力不从心。,,,
rd_onslaught,SHIP,黎明共和国的改造版本，对舰船内部进行了大量修改，获得了更为优秀的幅能护盾性能，但代价是失去了热脉冲加农炮和一定装甲。,,,
rd_dawn,SHIP,黎明共和国的最高技术结晶，无坚不摧的战斗堡垒。纯粹的战斗要塞，机架上的舰载机时刻准备对前来挑衅的敌人致命打击，猛烈的持续伤害也会让侥幸躲过舰载机前来偷袭的敌人撕裂之击。缓慢的航速和高昂的制造成本使其不可能量产。,,,
rd_holy_spirt,SHIP,共和国专为远程航行设计的大型油轮，其内置的燃料加工工厂可以为旅途提供不少临时燃料。,,,
rd_holy_envoy,SHIP,共和国专为远程航行设计的中型油轮，其内置的燃料加工工厂可以为旅途提供不少临时燃料,,,
rd_saint,SHIP,共和国专为远程航行设计的小型油轮，其内置的燃料加工工厂可以为旅途提供不少临时燃料,,,
rd_gemini,SHIP,"共和国通用的货船，尽管看起来与""金牛座""十分接近。",,,
rd_heron,SHIP,"共和国研制的专为远程打击而生的轻型航母。搭载上共和国的""彩云""级战斗机，让敌人尝尝撕裂是什么滋味。",,,
rd_ox,SHIP,"共和国依靠""公牛级""拖船得以驱动战列舰远行，但增加的大量燃料消耗不可小觑。",,,
rd_atlas,SHIP,"""阿特拉斯""级超级货轮的涂色版本，拥有超大货仓，能够运输大量的货物。",,,
rd_falcon_special,SHIP,"共和国研制的""绝杀猎鹰""级轻型巡洋舰的典藏版本，据说只有作出重大贡献的战士才能获得。",,,
,,,,,
,,,,,
